unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
02002ca4-2adf-4a5e-bf93-230816bb511b-005c5ee8,6053608,Doors,Wooden Door,80/210,02002ca4-2adf-4a5e-bf93-230816bb511b-005c5e91,80,210,10,168000,"{7188.368821, 4182.128799, 2465.0}","{0,-1,0}",96250,-
02002ca4-2adf-4a5e-bf93-230816bb511b-005c697b,6056315,Plumbing Fixtures,כיור,45/30,8394d77a-1c79-4e9f-9c31-534e6f44c403-00c8638d,45,22.5,30,30375,"{6365.078941, 4571.650604, 2431.25}","{0,-1,0}",9129.245122,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c70d5,6058197,Walls,Basic Wall,בטון 22+ 3 טיח,-,395,20.099918,25,198486.6905,"{6230.078941, 3877.624917, 2370.049959}","{0,-1,0}",198486.6905,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7292,6058642,Walls,Basic Wall,בלוק 10,-,217.28988,275.5,10,598633.6194,"{6846.223881, 4182.128799, 2497.75}","{0,-1,0}",430633.6194,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ae0,6060768,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ad8,79.666667,132.900082,14,148227.8914,"{6231.578941, 3883.124917, 2536.049959}","{0,1,0}",14722.92279,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ae1,6060769,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ad8,76.166667,132.900082,14,141715.7874,"{6312.495607, 3883.124917, 2536.049959}","{0,1,0}",14110.65694,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7b5c,6060892,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7b54,79.666667,123,14,137186,"{6231.578941, 3883.124917, 2198.5}","{0,1,0}",13660.38,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7b5d,6060893,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7b54,76.166667,123,14,131159,"{6312.495607, 3883.124917, 2198.5}","{0,1,0}",13092.12,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7bad,6060973,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ba5,78.833333,121,14,133543.6666,"{6230.328941, 3883.124917, 863.5}","{0,1,0}",13312.54333,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c7bae,6060974,Windows,Curtain Wall Window,Curtain Wall Window,05635810-f61e-43bc-be59-ccf561e0c8f3-005c7ba5,75.333333,121,14,127614.6667,"{6310.412274, 3883.124917, 863.5}","{0,1,0}",12753.17334,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c8241,6062657,Walls,Basic Wall,בלוק 10,-,285.5,100,10,285500,"{6377.578941, 4260.077396, 2502.75}","{0,1,0}",284500,-
05635810-f61e-43bc-be59-ccf561e0c8f3-005c833b,6062907,Walls,Basic Wall,בלוק 10,-,280,285.5,10,799400,"{6357.578941, 4471.650604, 2502.75}","{0,1,0}",652400,-
